Deleted	Dup	Name	Description	Topic	Ring	Category	Strategic Topic
		"flexiblere Veränderung von Prozessen (""Agilisierung"")"	TBD	Monitoring Management & Gouvernance	build-up	Frameworks (Technical)	Compliance
		GDPR	"Need to know, basic understanding neccessary."	Security & Testing	work	Methods & Organisationals	Compliance
		General Cloud Security	Understanding advantages of cloud services related to security.	Security & Testing	evaluate	Concepts (Technical)	Security
		Google AutoML	ML framework.	Machine Learning	evaluate	Frameworks (Technical)	ML & AI
		Google Cloud	Cloud Provider	Cloud Beratung & IT-Architektur	evaluate	Platforms	Cloud
		Google Firebase	Google cloud realtime services	Mobile Apps	evaluate	Products & Tools	Software Development
		Google Flutter	Framework for building android and ios apps	Mobile Apps	observe	Frameworks (Technical)	Software Development
		Google Fuchsia	Operating system by google	Mobile Apps	observe	Products & Tools	Software Development
	45	GraalVM		Professional Agile Development	observe	Platforms	Software Development
		GraalVM	VM for JVM based languages	Reactive	observe	Platforms	Software Development
		GraphQL	Open source data query and manipulation language; use/programming alternative to REST	Web Technologies	evaluate	Frameworks (Technical)	Software Development
		Groovy	Language	Professional Agile Development	reduce	Languages	Software Development
		H2O Driverless.AI	ML framework.	Machine Learning	evaluate	Frameworks (Technical)	ML & AI
		Holistic DI consulting	-- bei Christoph nachfragen --	Data-X	build-up	Methods & Organisationals	Data Intelligence
		Holokratie	TBD	Agile Management	observe	Methods & Organisationals	Agile Methoden
		IAST	Interactive Application Security Testing. Applied by us.	Security & Testing	observe	Methods & Organisationals	Security
		IBM Bluemix	Cloud Provider	Cloud Beratung & IT-Architektur	work	Platforms	Cloud
		"IBM BPM : ODM, ESB, BPM, BPEL, Monitor"	"Legacy obsolete old stuff, still good for making a lot of money"	BPM	reduce	Products & Tools	BPM
		Impact Mapping	Apply and train	Business Agility	work	Methods & Organisationals	Agile Methoden
		IntelliJ	TBD	Mobile Apps	work	Products & Tools	Software Development
		IntelliJ	IDE 	Reactive	build-up	Products & Tools	Software Development
		iOS	TBD	Mobile Apps	work	Platforms	Software Development
		ISO 38500 (Monitoring)	TBD	Monitoring Management & Gouvernance	build-up	Concepts (Technical)	Agile Methoden
		IT4IT	https://www.opengroup.org/it4it ; we use 	EAM	build-up	Methods & Organisationals	Architecture
		Java	Programming.	Spring	work	Languages	Software Development
		Java 11	TBD	Mobile Apps	evaluate	Languages	Software Development
		Javascript	TBD	Mobile Apps	work	Languages	Software Development
	32	JEE	Framework	Professional Agile Development	reduce	Frameworks (Technical)	Software Development
		JSF	Java specification for building component based user interfaces; maintaining JSF based SW components	Web Technologies	reduce	Languages	Software Development
		Kafka	Event driven architectures with Kafka and good practices for using the tool	Cloud Beratung & IT-Architektur	work	Products & Tools	Software Development
		Kanban	TBD	Agile Management	reduce	Methods & Organisationals	Agile Methoden
		KI/ML	"Advanced method to automatically correlate and analyse data in this context, e.g. anomalies."	Digital Experience Monitoring	build-up	Concepts (Technical)	ML & AI
	32	klassisch JEE	"Umsetzung von Anwendung nach dem JEE-Standard aud Basis von (schwergewichtigen) Applikationsservernn wie WebLogic, JBoss, …"	Cloud Native Development	reduce	Frameworks (Technical)	Software Development
		KMaaS	Key Management as a Service; we're using this (as a customer).	Security & Testing	work	Concepts (Technical)	Security
	47	Kotlin	"Use of the Kotlin programming language for developing backend microservices, used for backend service"	Cloud Native Development	work	Languages	Software Development
	47	Kotlin	TBD	Mobile Apps	work	Languages	Software Development
	47	Kotlin	Language	Professional Agile Development	work	Languages	Software Development
	47	Kotlin	JVM based programming language by JetBrains	Web Technologies	work	Languages	Software Development
		Kotlin / Sprachen	Language	Reactive	work	Languages	Software Development
		Kotlin Co-Routines	lightweight threads supporting many use cases	Reactive	evaluate	Languages	Software Development
		Lean	https://en.wikipedia.org/wiki/Lean ; we understand	EAM	observe	Methods & Organisationals	Architecture
		Lean Business Analytics	Measuring impact of Software Deliveries	Business Agility	build-up	Methods & Organisationals	Agile Methoden
		Lean Startup	TBD	Agile Management	work	Methods & Organisationals	Agile Methoden
		LeanIX	Lightweight EA repository tool (https://www.leanix.net); we use	EAM	build-up	Products & Tools	Architecture
		Lift & Shift-Migration	How do I migrate my existing app without refactoring it	Cloud Beratung & IT-Architektur	work	Concepts (Technical)	Cloud
		LivingDoc	BDD tool; consulting asset / door opener	Professional Agile Development	work	Frameworks (Technical)	Testing
x		LivingDoc1	TBD	Professional Agile Development	reduce	Frameworks (Technical)	Testing
x		LivingDoc2	TBD	Professional Agile Development	build-up	Frameworks (Technical)	Testing
		Management 3.0	TBD	Agile Management	build-up	Methods & Organisationals	Agile Methoden
		MDD	Model-Driven-Development: Techniques for automated generation of parts of the software/code from formal models (e.g. UML models)	Cloud Native Development	reduce	Concepts (Technical)	Architecture
		Micro Frameworks	"Lightweight application frameworks like Ktor, Micronaut, Spring Fu or Javalin. Due to their rather small footprint a possible deployment scenario is Serverless Computing. Tested and shortly before work."	Cloud Native Development	build-up	Frameworks (Technical)	Software Development
		Microservice Architectures	How to build applications using microservices	Cloud Beratung & IT-Architektur	work	Methods & Organisationals	Architecture
		Microservice Security	Authentication/Authorization for microservices (programmers perspective).	Security & Testing	work	Concepts (Technical)	Security
		Microservices BPM	Conepts for integrating BPM in microservice architectures	BPM	work	Concepts (Technical)	Cloud
	25	Migration Strategies	TBD	Cloud Beratung & IT-Architektur	build-up	Concepts (Technical)	Architecture
		MindSphere	TBD	IoT	observe	Platforms	IoT
x		ML	TBD	Digital Experience Monitoring	build-up	Concepts (Technical)	ML & AI
		ML	"especially deep learning, object recognition"	Data-X	build-up	Concepts (Technical)	ML & AI
		ML Accountability	"In our projects, who is accountable for NN decisions."	Machine Learning	evaluate	Frameworks (Technical)	ML & AI
		ML Bulid Pipeline	How to automate the lifecylce of NNs.	Machine Learning	work	Frameworks (Technical)	ML & AI
		ML Explainability	"How can we explain NN decisions, which frameworks and processes exist?"	Machine Learning	evaluate	Frameworks (Technical)	ML & AI
		ML Infrastruktur	Which hardware/topologies can be used for NNs?	Machine Learning	work	Frameworks (Technical)	ML & AI
		ML mit Java	Use of ML frameworks with Java.	Machine Learning	observe	Frameworks (Technical)	ML & AI
		ML mit Python	"What are new tools, versions etc."	Machine Learning	work	Frameworks (Technical)	ML & AI
		ML Trainings	Offer ML trainings.	Machine Learning	work	Methods & Organisationals	Professional Education
x		Monitoring	TBD	Professional Agile Development	work	Frameworks (Technical)	Performance
		Netflix OSS	"Hystrix, Feign, Eureka, Ribbon, …"	Spring	work	Frameworks (Technical)	Cloud
		New Work	TBD	Agile Management	observe	Methods & Organisationals	Agile Methoden
		Novatec Security Auditing	Novatec Offering	Security & Testing	build-up	Methods & Organisationals	Security
		OKR	Objectives and Key Results; apply	Business Agility	build-up	Methods & Organisationals	Miscellaneous
		Open APM Initiative	Marketing platform (https://openapm.io/); we use to advertise our services in open source consulting	Digital Experience Monitoring	work	Platforms	Data Intelligence
		Open Source APM	Consulting/use and development of open source solutions for APM	Data-X	work	Concepts (Technical)	Performance
		OpenShift	Container Application Platform	Cloud Beratung & IT-Architektur	observe	Platforms	Cloud
		Orbus iServer	EA repository tool (https://www.orbussoftware.com/); we use; we're partner	EAM	build-up	Products & Tools	Architecture
		Patterns	Cloud Native Patterns (see 12-factor-app)	Cloud Native Development	work	Concepts (Technical)	Cloud
		Performance Analysis	"Consulting across all disciplines (req analysis, impl, analysis, …)"	Data-X	work	Methods & Organisationals	Performance
		Polyglotte Microservices	use (if possible) the suitable technology for the domain and problem	Cloud Native Development	work	Concepts (Technical)	Cloud
		Process Automation	General concept of automating processes	BPM	work	Concepts (Technical)	BPM
x		Process model as monitoring model	TBD	BPM	work	Concepts (Technical)	BPM
		Process Monitoring	Monitor businees activity	BPM	evaluate	Concepts (Technical)	Performance
		Product Consulting (bspw.. AppDynamics)	Consult customers related to one specific product.	Digital Experience Monitoring	reduce	Products & Tools	Data Intelligence
		Progressive Web Apps (PWA)	(Buzzword) Web applications with functionality commonly known from native applications like working offline and push notifications; build offline web apps	Web Technologies	evaluate	Concepts (Technical)	Software Development
		Progressive Web Apps (PWA)	TBD	Angular	observe	Frameworks (Technical)	Software Development
		Progressive Web Apps (PWA)	TBD	Mobile Apps	observe	Frameworks (Technical)	Software Development
		Quantencomputing	What is the impact? When? To be considered?	Machine Learning	observe	Concepts (Technical)	Miscellaneous
		RASP	Runtime Application Self Protection. We look at frameworks.	Security & Testing	observe	Methods & Organisationals	Security
		React	Javascript library for building user interfaces; programming	Web Technologies	work	Frameworks (Technical)	Software Development
		React	TBD	Angular	work	Languages	Software Development
		React Native	TBD	Mobile Apps	work	Frameworks (Technical)	Software Development
	50	Reactive	TBD	Spring	build-up	Concepts (Technical)	Architecture
		Reactive Frameworks	"Spring Reactor, Vertx, Netty"	Reactive	work	Frameworks (Technical)	Software Development
	50	reactive programming	actively used	Cloud Native Development	work	Concepts (Technical)	Software Development
		reactive programming	programming paradigm	Reactive	work	Concepts (Technical)	Software Development
		Realm	TBD	Mobile Apps	work	Products & Tools	Software Development
		Relationale Datenbanken	TBD	Datenbanken	work	Products & Tools	Software Development
		Requirements Implementation DEDI	-- bei Christoph nachfragen --	Data-X	work	Methods & Organisationals	Performance
		Resilient Systems (self healing)	How to build self healing applications	Cloud Beratung & IT-Architektur	build-up	Concepts (Technical)	Architecture
x		RPA	TBD	BPM	observe	Concepts (Technical)	BPM
		RPA	Robotic Process Automation - Remote control for application w/o API through UI	BPM	evaluate	Concepts (Technical)	BPM
		SABSA	enterprise security framework (https://sabsa.org); used by customers; we have need to know	EAM	observe	Methods & Organisationals	Architecture
		Schulung PAD (Professional Agile Development)	"Training; how to efficiently develop software in agile env; TDD, pair progr, CI/CD, code reviews"	Professional Agile Development	work	Methods & Organisationals	Professional Education
		SCRUM	TBD	Agile Management	work	Methods & Organisationals	Agile Methoden
		SCRUM @ Scale	TBD	Agile Management	work	Methods & Organisationals	Agile Methoden
		Security Chaos Engineering	Process to secure applications.	Security & Testing	observe	Concepts (Technical)	Security
		Security for CI/CD Pipelines	Harden CI/CD pipeline (confiugration).	Security & Testing	work	Concepts (Technical)	Security
x		Security Globulis	TBD	Security & Testing	observe	Concepts (Technical)	Security
		Security Training for Devs	Training; security crash course - internal and external	Security & Testing	build-up	Concepts (Technical)	Security
		Server side rendering	HTML pages are dynamically generated on the server and sent to the client	Web Technologies	reduce	Concepts (Technical)	Software Development
		Serverless	How to… use/build/… serverless applications/functions	Cloud Beratung & IT-Architektur	evaluate	Concepts (Technical)	Cloud
		Serverless (Monitoring)	Understand and consult systems based on (/using) a serverless architecture/components.	Digital Experience Monitoring	observe	Concepts (Technical)	ML & AI
		Serverless Computing	"Serverless computing is a cloud-computing execution model in which the cloud provider acts as the server, dynamically managing the allocation of machine resources. Pricing is based on the actual amount of resources consumed by an application, rather than on pre-purchased units of capacity (see https://en.wikipedia.org/wiki/Serverless_computing)"	Cloud Native Development	work	Concepts (Technical)	Cloud
		Serverless/FaaS Lambda	"Tradeoffs, when to use, how to test"	Professional Agile Development	work	Frameworks (Technical)	Cloud
		Simulation Testing	Simulate users in test and in production; find bugs and fix	Professional Agile Development	observe	Concepts (Technical)	Testing
		Software Craftmanship	TBD	Mobile Apps	work	Methods & Organisationals	Software Development
		Solutions Design Consulting (Open APM)	Consult customers based on modular kit of open source components.	Digital Experience Monitoring	work	Products & Tools	Data Intelligence
		Soziokratie	TBD	Agile Management	observe	Methods & Organisationals	Agile Methoden
		Specification by Example	Apply and train	Business Agility	work	Methods & Organisationals	Agile Methoden
		Sprachanalyse	ML use case: Methods and programming.	Machine Learning	work	Concepts (Technical)	ML & AI
	116	Spring Boot/Spring Cloud	actively used	Cloud Native Development	work	Frameworks (Technical)	Cloud
		Spring Cloud	Using as programmer(s).	Spring	work	Frameworks (Technical)	Cloud
		Spring Frameworks	Evaluate and determine use cases.	Spring	work	Concepts (Technical)	Software Development
		Spring Fu	Using as programmer(s).	Spring	observe	Frameworks (Technical)	Cloud
		Spring Reactor	reactive framework	Reactive	work	Frameworks (Technical)	Software Development
x		Spring Reactor 2017	TBD	Reactive	work	Frameworks (Technical)	Software Development
		Story Mapping & Toolset (Atlassian)	Apply; train (future).	Business Agility	work	Methods & Organisationals	Agile Methoden
x		Story Point Estimation	TBD	Business Agility	reduce	Methods & Organisationals	Agile Methoden
		Story Slicing	Agile method we're using; esp with #NoEstimates	Professional Agile Development	work	Methods & Organisationals	Agile Methoden
		Swift	TBD	Mobile Apps	work	Languages	Software Development
		Taskana 	Task Management Framework to manage task lists - Open Source led by Novatec	BPM	build-up	Frameworks (Technical)	BPM
		TDD	TBD	Mobile Apps	work	Methods & Organisationals	Software Development
		TestNG	test framework (compare with JUnit)	Professional Agile Development	reduce	Frameworks (Technical)	Testing
		TOGAF	enterprise architecture framework (https://www.opengroup.org//togaf/); we're leading this	EAM	work	Methods & Organisationals	Architecture
		Tool (Selection) Consulting DEDI	select best tools for customer's requirements	Data-X	work	Methods & Organisationals	Performance
		TypeScript	Superset of JavaScript with optional  static typing. Transpiles to Javascript.	Web Technologies	work	Languages	Software Development
		Unit Testing	fundamental agile development praxis	Professional Agile Development	work	Methods & Organisationals	Testing
		Unit-Tests (aktuell JUnit 5)	technical test framework	Professional Agile Development	work	Frameworks (Technical)	Testing
x		Vaadin	Framework to build web applications with Java	Web Technologies	reduce	Frameworks (Technical)	Software Development
		Vue	Open source JavaScript framework for building single page applications	Web Technologies	build-up	Frameworks (Technical)	Software Development
		Warenkorbanalyse	ML use case: Methods and programming.	Machine Learning	work	Concepts (Technical)	ML & AI
		Web Assembly	Web standard for a binary target which can be executed in web browsers	Web Technologies	observe	Concepts (Technical)	Software Development
		Web Components	Standardized component model for HTML	Web Technologies	observe	Concepts (Technical)	Software Development
		Web Components	TBD	Angular	build-up	Frameworks (Technical)	Software Development
		Webflux	Using as programmer(s).	Spring	work	Frameworks (Technical)	Software Development
		WebRTC	Open source web standard for peer2peer communication between web browsers	Web Technologies	evaluate	Concepts (Technical)	Software Development
		WebSphere/Portal Server		Cloud Native Development	reduce	Frameworks (Technical)	Software Development
		x Reality	Web	Unresolved	observe	Concepts (Technical)	xR
		Xcode	TBD	Mobile Apps	work	Products & Tools	Software Development
		Zeitreihenerkennung	ML use case: Methods and programming.	Machine Learning	work	Concepts (Technical)	ML & AI
